========== FILE: canara1m.pdf ==========


======= PAGE 1 =======

text='1,340.34'                               x0=  534.5 x1=  581.2 top=  202.5 bottom=  214.5
text='250518346924EED2/25/11/2025'            x0=  106.6 x1=  281.4 top=  208.5 bottom=  220.5
text='05:18:42'                               x0=  106.6 x1=  153.3 top=  220.5 bottom=  232.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  244.5 bottom=  256.5
text='622857769725'                           x0=  135.3 x1=  215.4 top=  244.5 bottom=  256.5
text='UPI/DR/358850155868/SHEELU'             x0=  106.6 x1=  282.1 top=  268.5 bottom=  280.5
text='KU/PUNB/**902-'                         x0=  106.6 x1=  196.7 top=  280.5 bottom=  292.5
text='1@OKAXIS/PAYMENT'                       x0=  106.6 x1=  231.5 top=  292.5 bottom=  304.5
text='//YBLF5DF8541BA9943E48FE7'              x0=  106.6 x1=  278.7 top=  304.5 bottom=  316.5
text='25-11-2025'                             x0=   26.6 x1=   87.9 top=  310.5 bottom=  322.5
text='15.00'                                  x0=  460.3 x1=  490.4 top=  310.5 bottom=  322.5
text='1,325.34'                               x0=  534.5 x1=  581.2 top=  310.5 bottom=  322.5
text='BBFFA990E89A/25/11/2025'                x0=  106.6 x1=  258.1 top=  316.5 bottom=  328.5
text='10:05:57'                               x0=  106.6 x1=  153.3 top=  328.5 bottom=  340.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  352.5 bottom=  364.5
text='358850155868'                           x0=  135.3 x1=  215.4 top=  352.5 bottom=  364.5
text='UPI/DR/682076876389/RAJESH'             x0=  106.6 x1=  281.4 top=  376.5 bottom=  388.5
text='KU/YESB/**YHJDW@PAYTM/P'                x0=  106.6 x1=  278.9 top=  388.5 bottom=  400.5
text='AYMENT'                                 x0=  106.6 x1=  156.6 top=  400.5 bottom=  412.5
text='//IBL561E9F866370470D8141CA'            x0=  106.6 x1=  285.4 top=  412.5 bottom=  424.5
text='25-11-2025'                             x0=   26.6 x1=   87.9 top=  418.5 bottom=  430.5
text='10.00'                                  x0=  460.3 x1=  490.4 top=  418.5 bottom=  430.5
text='1,315.34'                               x0=  534.5 x1=  581.2 top=  418.5 bottom=  430.5
text='2E9C323B43/25/11/2025'                  x0=  106.6 x1=  241.4 top=  424.5 bottom=  436.5
text='17:15:25'                               x0=  106.6 x1=  153.3 top=  436.5 bottom=  448.5
text='Chq:'                                   x0=  106.6 x1=  132.0 top=  460.5 bottom=  472.5
text='682076876389'                           x0=  135.3 x1=  215.4 top=  460.5 bottom=  472.5
text='UPI/DR/540264751200/ROHIT'              x0=  106.6 x1=  271.4 top=  484.5 bottom=  496.5
text='KUM/YESB/**720EJ@PTY/PAY'               x0=  106.6 x1=  278.2 top=  496.5 bottom=  508.5
text='MENT'                                   x0=  106.6 x1=  140.6 top=  508.5 bottom=  520.5
text='//YBLC5654661691B418B98BF1'             x0=  106.6 x1=  282.8 top=  520.5 bottom=  532.5
text='25-11-2025'                             x0=   26.6 x1=   87.9 top=  526.5 bottom=  538.5
text='15.00'                                  x0=  460.3 x1=  490.4 top=  526.5 bottom=  538.5
text='1,300.34'                               x0=  534.5 x1=  581.2 top=  526.5 bottom=  538.5
text='8031E4DF963/25/11/2025'                 x0=  106.6 x1=  247.4 top=  532.5 bottom=  544.5
